ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
26431
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
191.48 147.347 7.85763 1
193.091 145.835 9.42137 1
194.656 147.348 7.86352 1
196.227 145.77 9.42326 1
197.809 147.325 7.86618 1
199.386 145.759 9.42433 1
200.963 147.325 7.8661 1
202.544 145.769 9.42311 1
204.116 147.347 7.86325 1
205.68 145.833 9.42112 1
207.292 147.345 7.85727 1
210.434 147.354 7.85059 1
213.574 147.435 7.84368 1
178.883 150.538 7.8531 1
180.487 148.983 9.42145 1
182.043 150.507 7.86838 1
183.591 148.928 9.4312 1
185.168 150.462 7.87631 1
186.765 148.907 9.43945 1
188.345 150.48 7.88153 1
189.916 148.871 9.44449 1
191.492 150.467 7.8839 1
193.047 148.855 9.44822 1
196.229 148.886 9.45127 1
199.386 148.882 9.45242 1
202.543 148.885 9.45107 1
205.725 148.853 9.44782 1
207.282 150.464 7.88331 1
208.857 148.868 9.44396 1
210.429 150.476 7.8807 1
212.008 148.903 9.43887 1
213.607 150.456 7.8754 1
215.184 148.922 9.4311 1
216.736 150.496 7.86819 1
218.302 148.986 9.42296 1
219.902 150.515 7.85656 1
222.993 150.566 7.84081 1
172.588 153.681 7.84993 1
174.187 152.122 9.42147 1
175.74 153.65 7.86938 1
177.283 152.059 9.43554 1
178.852 153.607 7.8801 1
180.428 152.035 9.44797 1
183.604 152.041 9.45597 1
215.169 152.033 9.45539 1
218.34 152.018 9.44939 1
219.89 153.638 7.88477 1
221.46 152.063 9.44006 1
223.063 153.634 7.87317 1
224.612 152.087 9.42446 1
226.201 153.67 7.85353 1
166.327 156.865 7.84405 1
169.407 156.8 7.86172 1
170.983 155.231 9.43164 1
172.54 156.771 7.87797 1
174.123 155.189 9.44725 1
177.292 155.19 9.45759 1
224.662 155.178 9.44988 1
226.229 156.755 7.87924 1
227.796 155.205 9.43501 1
229.332 156.801 7.86775 1
230.881 155.268 9.41939 1
232.474 156.826 7.84568 1
163.137 159.979 7.84971 1
166.259 159.943 7.87395 1
164.711 158.395 9.42376 1
169.424 159.94 7.88545 1
167.854 158.366 9.44325 1
170.958 158.318 9.45455 1
227.786 158.343 9.45656 1
230.95 158.344 9.44462 1
232.527 159.931 7.87441 1
234.074 158.378 9.42471 1
235.646 159.968 7.85011 1
159.979 163.137 7.84971 1
163.092 163.092 7.8764 1
161.542 161.542 9.42641 1
166.257 163.102 7.88562 1
164.66 161.501 9.44818 1
167.828 161.512 9.45916 1
234.123 161.491 9.448 1
235.691 163.082 7.8752 1
237.24 161.531 9.42682 1
238.806 163.124 7.85042 1
156.865 166.327 7.84405 1
159.943 166.259 7.87395 1
158.395 164.711 9.42376 1
163.102 166.257 7.88562 1
161.501 164.66 9.44818 1
164.665 164.665 9.46002 1
237.283 164.647 9.44824 1
238.845 166.24 7.87465 1
240.398 164.693 9.42595 1
