ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
110501
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
184.327 180.285 4.02307 1
186.347 182.304 4.0226 1
188.369 180.285 0 1
190.388 180.283 2.01503 1
188.368 182.304 2.01496 1
190.388 182.304 0 1
188.368 180.283 4.02272 1
190.387 182.303 4.02233 1
192.408 180.283 0 1
194.428 180.282 2.01495 1
192.408 182.303 2.01485 1
194.428 182.303 0 1
192.408 180.281 4.02249 1
194.427 182.302 4.02217 1
196.448 180.282 0 1
198.468 180.281 2.01491 1
196.448 182.302 2.0148 1
198.468 182.303 0 1
196.448 180.281 4.02237 1
198.468 182.301 4.0221 1
200.487 180.282 0 1
202.507 180.282 2.01492 1
200.488 182.303 2.01479 1
202.507 182.303 0 1
200.487 180.281 4.02235 1
202.508 182.302 4.02213 1
204.527 180.283 0 1
206.547 180.283 2.01499 1
204.527 182.303 2.01483 1
206.547 182.305 0 1
204.527 180.282 4.02242 1
206.548 182.303 4.02226 1
208.566 180.285 0 1
210.586 180.286 2.01511 1
208.567 182.305 2.01492 1
210.587 182.306 0 1
208.567 180.283 4.02261 1
210.588 182.305 4.02249 1
212.606 180.287 0 1
214.626 180.288 2.0153 1
212.607 182.307 2.01506 1
214.627 182.309 0 1
212.607 180.286 4.02292 1
214.628 182.307 4.02285 1
216.645 180.29 0 1
216.647 182.309 2.01528 1
216.647 180.288 4.02337 1
220.684 180.293 0 1
218.665 180.291 2.01558 1
218.667 182.311 0 1
220.687 182.312 2.01559 1
220.686 180.291 4.02399 1
218.668 182.31 4.02336 1
224.722 180.295 0 1
222.704 180.293 2.01596 1
222.706 182.313 0 1
224.726 182.314 2.016 1
224.725 180.293 4.02483 1
222.708 182.312 4.02405 1
228.759 180.296 0 1
226.742 180.295 2.01648 1
226.744 182.315 0 1
228.763 182.315 2.01653 1
228.762 180.294 4.02589 1
226.746 182.313 4.02495 1
232.794 180.295 0 1
230.778 180.295 2.01709 1
230.78 182.315 0 1
232.798 182.314 2.01719 1
232.797 180.293 4.02719 1
230.783 182.313 4.02608 1
236.824 180.292 0 1
234.811 180.293 2.01783 1
234.814 182.314 0 1
236.83 182.312 2.01835 1
236.829 180.29 4.02901 1
234.818 182.312 4.02763 1
240.846 180.289 0 1
238.838 180.29 2.01935 1
238.841 182.311 0 1
240.855 182.307 2.0205 1
240.856 180.284 4.03224 1
238.848 182.308 4.03011 1
244.854 180.288 0 1
242.859 180.283 2.02272 1
242.86 182.307 0 1
244.876 182.297 2.02399 1
244.877 180.274 4.03686 1
242.874 182.3 4.0338 1
154.063 184.323 2.02357 1
154.061 186.344 0 1
154.044 186.339 4.03553 1
156.081 184.332 0 1
158.088 184.331 2.02032 1
156.069 186.347 2.02122 1
158.086 186.351 0 1
156.064 184.324 4.03322 1
158.075 186.347 4.0311 1
160.106 184.334 0 1
162.119 184.335 2.01837 1
160.098 186.352 2.01902 1
162.116 186.354 0 1
160.097 184.331 4.02988 1
162.11 186.351 4.02836 1
164.137 184.336 0 1
166.153 184.335 2.01735 1
164.132 186.354 2.01761 1
166.151 186.355 0 1
164.132 184.333 4.02767 1
166.147 186.353 4.02648 1
168.172 184.335 0 1
170.189 184.334 2.01655 1
168.168 186.354 2.01674 1
170.188 186.354 0 1
168.168 184.333 4.02606 1
170.185 186.352 4.02509 1
172.209 184.333 0 1
174.227 184.332 2.01591 1
172.206 186.352 2.01607 1
174.226 186.352 0 1
172.206 184.331 4.02478 1
174.224 186.35 4.02401 1
176.247 184.331 0 1
178.266 184.329 2.01545 1
176.245 186.35 2.01555 1
178.266 186.35 0 1
176.245 184.329 4.02379 1
178.264 186.348 4.0232 1
180.287 184.329 0 1
182.306 184.327 2.01513 1
180.285 186.348 2.01518 1
182.306 186.348 0 1
180.285 184.327 4.02307 1
182.304 186.347 4.0226 1
184.327 184.327 0 1
186.347 184.326 2.01492 1
184.326 186.347 2.01492 1
186.346 186.346 0 1
184.326 184.326 4.02257 1
186.345 186.345 4.0222 1
188.367 184.325 0 1
190.387 184.324 2.01479 1
188.366 186.345 2.01475 1
190.387 186.345 0 1
188.366 184.324 4.02223 1
190.386 186.344 4.02193 1
192.408 184.324 0 1
194.427 184.323 2.01471 1
192.407 186.344 2.01465 1
194.427 186.345 0 1
192.407 184.323 4.02202 1
194.427 186.344 4.02178 1
196.448 184.324 0 1
198.468 184.323 2.01468 1
196.448 186.344 2.0146 1
198.468 186.344 0 1
196.447 184.322 4.02191 1
198.468 186.343 4.02172 1
200.488 184.324 0 1
202.508 184.324 2.0147 1
200.488 186.344 2.0146 1
202.508 186.345 0 1
200.488 184.323 4.0219 1
202.508 186.344 4.02175 1
204.528 184.325 0 1
206.548 184.325 2.01476 1
204.529 186.345 2.01463 1
206.549 186.346 0 1
204.528 184.323 4.02198 1
206.549 186.345 4.02188 1
208.568 184.326 0 1
210.588 184.327 2.01487 1
208.569 186.346 2.01472 1
210.589 186.347 0 1
208.569 184.325 4.02215 1
210.59 186.346 4.0221 1
212.608 184.328 0 1
214.629 184.328 2.01505 1
212.61 186.348 2.01486 1
214.63 186.349 0 1
212.609 184.327 4.02244 1
214.631 186.348 4.02244 1
216.648 184.33 0 1
216.65 186.35 2.01506 1
216.65 184.329 4.02285 1
220.688 184.332 0 1
218.669 184.331 2.0153 1
218.67 186.351 0 1
220.691 186.351 2.01535 1
220.69 184.331 4.02343 1
218.671 186.35 4.02292 1
224.727 184.334 0 1
222.709 184.333 2.01564 1
222.71 186.353 0 1
224.73 186.353 2.01573 1
224.73 184.332 4.02418 1
222.712 186.351 4.02357 1
228.766 184.335 0 1
226.747 184.334 2.01608 1
226.749 186.354 0 1
228.769 186.354 2.01623 1
228.768 184.333 4.02516 1
226.752 186.353 4.02441 1
232.801 184.334 0 1
230.785 184.334 2.01666 1
230.787 186.354 0 1
232.806 186.354 2.01695 1
232.805 184.333 4.02649 1
230.79 186.353 4.02554 1
236.833 184.333 0 1
234.819 184.333 2.01756 1
234.822 186.354 0 1
236.84 186.352 2.01805 1
236.838 184.33 4.02844 1
234.827 186.352 4.02713 1
240.859 184.329 0 1
238.849 184.33 2.01906 1
